Company Fundamentals - Cash Flow,,,,,,,,,,,,,,,,,
Company Name,Univanich Palm Oil PCL (UVAN.BK),,,,,,,,,,,,,,,,
Country of Exchange,Thailand,,,,,,,,,,,,,,,,
Country of Headquarters,Thailand,,,,,,,,,,,,,,,,
TRBC Industry Group,Food & Tobacco,,,,,,,,,,,,,,,,
CF Template,IND,,,,,,,,,,,,,,,,
Consolidation Basis,Consol. Priority,,,,,,,,,,,,,,,,
Scaling,Millions,,,,,,,,,,,,,,,,
Period,Quarter,,,,,,,,,,,,,,,,
Export Date,23-03-2025,,,,,,,,,,,,,,,,
Statement Data,2024,2024,2024,2024,2023,2023,2023,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020
Period End Date,31-12-2024,30-09-2024,30-06-2024,31-03-2024,31-12-2023,30-09-2023,30-06-2023,31-03-2023,31-12-2022,30-09-2022,30-06-2022,31-03-2022,31-12-2021,30-09-2021,30-06-2021,31-03-2021,31-12-2020
Statement Date,31-12-2024,30-09-2024,30-06-2024,31-03-2024,31-12-2023,30-09-2023,30-06-2023,31-03-2023,31-12-2022,30-09-2022,30-06-2022,31-03-2022,31-12-2021,30-09-2021,30-06-2021,31-03-2021,31-12-2020
Standardized Currency,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB,THB
Template Type,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect,Industrial - Indirect
,,,,,,,,,,,,,,,,,
Cash Flow - Standardized (Currency: Standardized),,,,,,,,,,,,,,,,,
Field Name,31-12-2024,30-09-2024,30-06-2024,31-03-2024,31-12-2023,30-09-2023,30-06-2023,31-03-2023,31-12-2022,30-09-2022,30-06-2022,31-03-2022,31-12-2021,30-09-2021,30-06-2021,31-03-2021,31-12-2020
Operating Cash Flow - Indirect,,,,,,,,,,,,,,,,,
Profit/(Loss) - Starting Line - Cash Flow,49.28,521.6,834.5,204.8,177.7,223.0,308.2,501.9,415.9,340.3,603.5,460.9,163.3,164.5,641.8,133.9,2.48
Non-cash Items & Reconciliation Adjustments - Cash Flow,127.1,-34.10,43.59,100.0,23.36,79.18,74.96,57.61,-39.19,114.4,98.29,35.08,39.67,91.02,65.70,36.94,58.37
